year,week,Argos Sales Volume,Tesco Sales Volume,Argos Sales Value,Tesco Sales Value,Argos Price,Tesco Price,Argos Distribution,Tesco Distribution,Average UK Temperature,Average UK Rainfall,TVRs,Cinema Admissions,YouTube Impressions
2015,12/28/2015,11795,10813,45057,40224,3.82,3.72,0.65,0.82,6.70,8.93,0,0,0
2016,1/4/2016,9919,10482,38089,39203,3.84,3.74,0.65,0.82,6.49,5.32,0,0,0
2016,1/11/2016,9276,10739,41928,40056,4.52,3.73,0.65,0.82,6.00,6.31,0,0,0
2016,1/18/2016,9585,13063,46679,45851,4.87,3.51,0.65,0.82,5.38,4.30,0,0,0
2016,1/25/2016,8378,15554,41136,50551,4.91,3.25,0.65,0.82,5.00,6.52,0,0,0
2016,2/1/2016,9726,14929,47366,48519,4.87,3.25,0.77,0.85,6.40,7.34,0,0,0
2016,2/8/2016,9543,12961,46093,45752,4.83,3.53,0.77,0.85,5.38,6.50,0,0,0
2016,2/15/2016,9223,12127,41780,53723,4.53,4.43,0.77,0.85,7.60,1.94,0,0,0
2016,2/22/2016,10321,13256,38394,47987,3.72,3.62,0.77,0.85,6.59,3.42,0,0,0
2016,2/29/2016,10533,12547,39499,45797,3.75,3.65,0.77,0.83,8.01,2.58,0,0,0
2016,3/7/2016,10201,11738,37744,42257,3.7,3.6,0.77,0.83,8.60,0.11,0,0,0
2016,3/14/2016,13051,12107,45809,41285,3.51,3.41,0.77,0.83,8.48,1.83,0,0,0
2016,3/21/2016,11302,10515,43400,39326,3.84,3.74,0.77,0.83,7.69,2.58,0,0,0
2016,3/28/2016,12456,19644,43721,66986,3.51,3.41,0.77,0.83,11.52,1.86,0,0,0
2016,4/4/2016,11447,15983,45902,62494,4.01,3.91,0.72,0.83,10.00,1.67,0,0,0
2016,4/11/2016,9856,11929,47999,56901,4.87,4.77,0.72,0.83,9.16,0.08,0,0,0
2016,4/18/2016,9513,11668,46709,56123,4.91,4.81,0.72,0.83,11.38,4.76,0,0,0
2016,4/25/2016,10421,11277,46999,49732,4.51,4.41,0.72,0.83,10.75,1.87,0,0,0
2016,5/2/2016,10744,16493,46414,52943,4.32,3.21,0.75,0.84,12.38,4.08,0,0,0
2016,5/9/2016,10203,17240,46016,54134,4.51,3.14,0.75,0.84,13.46,1.29,0,0,0
2016,5/16/2016,10220,17939,49771,55611,4.87,3.1,0.75,0.84,13.85,5.86,0,0,0
2016,5/23/2016,13198,18464,51340,55207,3.89,2.99,0.75,0.84,13.12,2.97,0,0,0
2016,5/30/2016,10234,12415,44518,59468,4.35,4.79,0.72,0.83,14.90,3.32,0,0,0
2016,6/6/2016,9687,10649,47369,51222,4.89,4.81,0.72,0.83,16.92,1.41,0,0,0
2016,6/13/2016,8993,9886,45055,49331,5.01,4.99,0.72,0.83,16.74,0.05,0,0,0
2016,6/20/2016,10621,11696,45777,58363,4.31,4.99,0.72,0.83,16.08,2.12,0,0,0
2016,6/27/2016,12126,11778,52384,55946,4.32,4.75,0.72,0.83,16.76,1.90,0,0,0
2016,7/4/2016,12184,16324,54097,77049,4.44,4.72,0.72,0.83,16.88,1.95,0,0,0
2016,7/11/2016,12253,21384,50237,67360,4.1,3.15,0.72,0.83,19.69,2.63,0,0,0
2016,7/18/2016,11772,22231,57330,69805,4.87,3.14,0.72,0.83,20.45,0.73,0,0,0
2016,7/25/2016,11342,27211,48884,81361,4.31,2.99,0.72,0.83,18.15,2.74,0,0,0
2016,8/1/2016,13214,18574,54442,60180,4.12,3.24,0.7,0.86,17.57,5.42,0,0,0
2016,8/8/2016,13724,14879,56268,59665,4.1,4.01,0.7,0.86,15.65,3.74,28,0,0
2016,8/15/2016,16086,13664,60162,54519,3.74,3.99,0.7,0.86,13.24,1.21,31,0,0
2016,8/22/2016,16665,14679,61994,55927,3.72,3.81,0.7,0.86,15.67,4.49,41,0,0
2016,8/29/2016,15212,14173,59175,52582,3.89,3.71,0.74,0.85,16.45,0.61,20,0,0
2016,9/5/2016,14240,13252,56533,51020,3.97,3.85,0.74,0.85,15.11,0.02,19,0,0
2016,9/12/2016,15922,16171,61618,57245,3.87,3.54,0.74,0.85,16.53,1.07,67,0,0
2016,9/19/2016,14923,15093,57006,58410,3.82,3.87,0.74,0.85,14.34,0.60,35,0,0
2016,9/26/2016,15319,16060,63114,60707,4.12,3.78,0.74,0.85,14.46,2.11,89,0,0
2016,10/3/2016,14821,14488,65361,60994,4.41,4.21,0.79,0.85,11.09,5.57,36,0,0
2016,10/10/2016,19065,14049,70922,58163,3.72,4.14,0.79,0.85,13.60,6.48,50,0,0
2016,10/17/2016,18611,17234,69791,62904,3.75,3.65,0.79,0.85,11.72,1.56,26,0,0
2016,10/24/2016,21408,17518,77925,62014,3.64,3.54,0.79,0.85,13.41,2.37,50,0,0
2016,10/31/2016,19703,15054,73886,54947,3.75,3.65,0.81,0.88,8.03,5.97,41,0,0
2016,11/7/2016,21090,19431,74659,62374,3.54,3.21,0.81,0.88,9.71,4.59,43,0,0
2016,11/14/2016,22876,22211,81667,71964,3.57,3.24,0.81,0.88,8.33,4.14,10,0,0
2016,11/21/2016,22231,23741,80921,76921,3.64,3.24,0.81,0.88,7.31,2.46,0,0,0
2016,11/28/2016,23216,30138,85435,107894,3.68,3.58,0.8,0.88,4.87,0.82,60,0,0
2016,12/5/2016,25458,29434,83248,93306,3.27,3.17,0.8,0.88,4.77,3.62,70,0,0
2016,12/12/2016,24326,30186,89276,97803,3.67,3.24,0.8,0.88,7.51,3.14,0,0,0
2016,12/19/2016,26504,25430,105486,98414,3.98,3.87,0.8,0.88,5.31,3.32,0,0,0
2016,12/26/2016,11105,10556,46752,47608,4.21,4.51,0.8,0.88,3.80,2.65,0,0,0
2017,1/2/2017,9854,12004,47398,56539,4.81,4.71,0.68,0.86,6.99,3.15,0,0,0
2017,1/9/2017,10110,11559,42866,52709,4.24,4.56,0.68,0.86,4.26,5.15,0,0,0
2017,1/16/2017,11329,12096,46789,58908,4.13,4.87,0.68,0.86,1.92,1.41,0,0,0
2017,1/23/2017,11485,15087,47089,68042,4.1,4.51,0.68,0.86,3.92,2.23,25,0,0
2017,1/30/2017,13480,16842,58099,75115,4.31,4.46,0.69,0.86,1.85,0.70,41,0,0
2017,2/6/2017,15798,16121,64772,78187,4.1,4.85,0.69,0.86,4.80,1.13,50,0,0
2017,2/13/2017,15770,17156,64972,68967,4.12,4.02,0.69,0.86,4.77,2.99,53,0,0
2017,2/20/2017,15089,15340,61261,75473,4.06,4.92,0.69,0.86,6.25,3.66,42,0,0
2017,2/27/2017,15267,14507,62595,70359,4.1,4.85,0.78,0.86,6.89,1.08,32,0,0
2017,3/6/2017,13784,13552,60650,65998,4.4,4.87,0.78,0.84,6.41,1.90,0,0,0
2017,3/13/2017,13725,13327,59567,63437,4.34,4.76,0.78,0.84,6.46,0.45,0,0,0
2017,3/20/2017,13902,23174,66869,109150,4.81,4.71,0.78,0.84,7.18,2.38,25,0,0
2017,3/27/2017,18364,20113,56561,78240,3.08,3.89,0.78,0.84,8.15,2.90,30,0,0
2017,4/3/2017,12753,28431,48589,85009,3.81,2.99,0.76,0.85,10.07,0.33,21,0,0
2017,4/10/2017,13159,22888,49346,71868,3.75,3.14,0.76,0.85,10.80,0.44,2,0,0
2017,4/17/2017,12345,14544,51232,58903,4.15,4.05,0.76,0.85,10.63,0.92,0,0,0
